IDX,MTH,SALES
1,"1-01",266.0
2,"1-02",145.9
3,"1-03",183.1
4,"1-04",119.3
5,"1-05",180.3
6,"1-06",168.5
7,"1-07",231.8
8,"1-08",224.5
9,"1-09",192.8
10,"1-10",122.9
11,"1-11",336.5
12,"1-12",185.9
13,"2-01",194.3
14,"2-02",149.5
15,"2-03",210.1
16,"2-04",273.3
17,"2-05",191.4
18,"2-06",287.0
19,"2-07",226.0
20,"2-08",303.6
21,"2-09",289.9
22,"2-10",421.6
23,"2-11",264.5
24,"2-12",342.3
25,"3-01",339.7
26,"3-02",440.4
27,"3-03",315.9
28,"3-04",439.3
29,"3-05",401.3
30,"3-06",437.4
31,"3-07",575.5
32,"3-08",407.6
33,"3-09",682.0
34,"3-10",475.3
35,"3-11",581.3
36,"3-12",646.9